EDDB;Berlin-Schönefeld Airport;Germany
EDDC;Dresden Airport;Germany
EDDE;Erfurt Airport;Germany
EDDF;Frankfurt am Main Airport;Germany
EDDG;Münster Osnabrück Airport;Germany
EDDH;Hamburg Airport;Germany
EDDK;Cologne Bonn Airport;Germany
EDDL;Düsseldorf Airport;Germany
EDDM;Munich Airport;Germany
EDDN;Nuremberg Airport;Germany
EDDP;Leipzig/Halle Airport;Germany
EDDR;Saarbrücken Airport;Germany
EDDS;Stuttgart Airport;Germany
EDDT;Berlin-Tegel Airport;Germany
EDDV;Hannover Airport;Germany
EDDW;Bremen Airport;Germany
EDFE;Frankfurt-Egelsbach Airport;Germany
EDFH;Frankfurt-Hahn Airport;Germany
EDFM;Mannheim-City Airport;Germany
EDFZ;Mainz-Finthen Airport;Germany
EDGE;Eisenach-Kindel Airport;Germany
EDGS;Siegerland Airport;Germany
EDHI;Hamburg-Finkenwerder Airport;Germany
EDHK;Kiel-Holtenau Airport;Germany
EDHL;Lübeck Blankensee Airport;Germany
EDJA;Memmingen Allgau Airport;Germany
EDLN;Münchengladbach Airport;Germany
EDLP;Paderborn Lippstadt Airport;Germany
EDLV;Weeze Airport;Germany
EDLW;Dortmund Airport;Germany
EDMA;Augsburg Airport;Germany
EDMO;Oberpfaffenhofen Airport;Germany
EDNY;Friedrichshafen Airport;Germany
EDOP;Schwerin Parchim Airport;Germany
EDQA;Airport Bamberg-Breitenau;Germany
EDQD;Bayreuth Airport;Germany
EDQM;Hof-Plauen Airport;Germany
EDSB;Karlsruhe Baden-Baden Airport;Germany
EDTD;Donaueschingen-Villingen Airport;Germany
EDTL;Lahr Airport;Germany
EDTY;Adolf Würth Airport;Germany
EDUZ;Zerbst Airport;Germany
EDVE;Braunschweig-Wolfsburg Airport;Germany
EDVK;Kassel-Calden Airport;Germany
